Statistical profiling result from profilerConConsole.log, (9267 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      1    0.0%    0.0%  LazyCompile: *toString node:buffer:790:46
      1    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:332:26
      1    0.0%    0.0%  LazyCompile: *readPackage node:internal/modules/cjs/loader:301:21
      1    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.0%  LazyCompile: *join node:path:1166:7
      1    0.0%    0.0%  LazyCompile: *handle /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:136:31
      1    0.0%    0.0%  LazyCompile: *get /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/debug/src/common.js:125:9
      1    0.0%    0.0%  LazyCompile: *formatProperty node:internal/util/inspect:1883:24
      1    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      1    0.0%    0.0%  LazyCompile: *createWriteWrap node:internal/stream_base_commons:109:25
      1    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:285:16
      1    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:384:22
      1    0.0%    0.0%  LazyCompile: *Writable.write node:internal/streams/writable:335:36
      1    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:505:28
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:742:32
      1    0.0%    0.0%  Function: ^writeOrBuffer node:internal/streams/writable:367:23
      1    0.0%    0.0%  Function: ^writeGeneric node:internal/stream_base_commons:147:22
