Statistical profiling result from profilerSinConsole.log, (9363 ticks, 23 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *compile /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:571:21
      1    0.0%    0.0%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.0%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      1    0.0%    0.0%  LazyCompile: *Hash node:internal/crypto/hash:62:14
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:689:40
      1    0.0%    0.0%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      1    0.0%    0.0%  Function: ^writeOrBuffer node:internal/streams/writable:367:23
      1    0.0%    0.0%  Function: ^writeHead node:_http_server:292:19
      1    0.0%    0.0%  Function: ^validateEncoding node:internal/validators:208:26
      1    0.0%    0.0%  Function: ^tryStatSync node:fs:413:21
      1    0.0%    0.0%  Function: ^tryHandleCache /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:254:24
      1    0.0%    0.0%  Function: ^trim_prefix /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:293:23
      1    0.0%    0.0%  Function: ^stringToFlags node:internal/fs/utils:558:23
      1    0.0%    0.0%  Function: ^store.generate /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:158:28
      1    0.0%    0.0%  Function: ^stat node:fs:1504:14
      1    0.0%    0.0%  Function: ^slice node:buffer:599:12
      1    0.0%    0.0%  Function: ^setWriteHeadHeaders /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/on-headers/index.js:105:30
      1    0.0%    0.0%  Function: ^serializeInto /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/serializer.js:553:23
      1    0.0%    0.0%  Function: ^send /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/response.js:111:25
      1    0.0%    0.0%  Function: ^resume node:internal/streams/readable:977:16
      1    0.0%    0.0%  Function: ^resOnFinish node:_http_server:816:21
      1    0.0%    0.0%  Function: ^readSync node:fs:699:18
      1    0.0%    0.0%  Function: ^readPackage node:internal/modules/cjs/loader:301:21
      1    0.0%    0.0%  Function: ^process_params /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:338:47
      1    0.0%    0.0%  Function: ^processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      1    0.0%    0.0%  Function: ^processHeader node:_http_outgoing:511:23
      1    0.0%    0.0%  Function: ^parserOnHeadersComplete node:_http_common:77:33
      1    0.0%    0.0%  Function: ^onwrite node:internal/streams/writable:427:17
      1    0.0%    0.0%  Function: ^onStatError /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/send/index.js:412:57
      1    0.0%    0.0%  Function: ^normalize node:path:1127:12
      1    0.0%    0.0%  Function: ^nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.0%  Function: ^module.exports /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/utils-merge/index.js:16:36
      1    0.0%    0.0%  Function: ^listenerCount node:events:840:23
      1    0.0%    0.0%  Function: ^isstats /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/etag/index.js:104:18
      1    0.0%    0.0%  Function: ^isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  Function: ^initialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/passport/lib/middleware/initialize.js:51:29
      1    0.0%    0.0%  Function: ^handleCache /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:210:21
      1    0.0%    0.0%  Function: ^getTimerDuration node:internal/timers:383:26
      1    0.0%    0.0%  Function: ^getPathFromURLPosix node:internal/url:1412:29
      1    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:647:57
      1    0.0%    0.0%  Function: ^generateETag /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/utils.js:273:32
      1    0.0%    0.0%  Function: ^generate /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:363:22
      1    0.0%    0.0%  Function: ^extname node:path:1385:10
      1    0.0%    0.0%  Function: ^exports.escapeXML /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/utils.js:96:30
      1    0.0%    0.0%  Function: ^etag /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/etag/index.js:70:15
      1    0.0%    0.0%  Function: ^endReadableNT node:internal/streams/readable:1351:23
      1    0.0%    0.0%  Function: ^end /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:250:27
      1    0.0%    0.0%  Function: ^emit node:events:460:44
      1    0.0%    0.0%  Function: ^dispatch /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.0%  Function: ^deserializeObject /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.0%    0.0%  Function: ^debug /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^compile /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:571:21
      1    0.0%    0.0%  Function: ^closeSync node:fs:535:19
      1    0.0%    0.0%  Function: ^clearTimeout node:timers:185:22
      1    0.0%    0.0%  Function: ^callback node:internal/streams/writable:552:44
      1    0.0%    0.0%  Function: ^basename node:path:1306:11
      1    0.0%    0.0%  Function: ^anonymous /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:695:59
      1    0.0%    0.0%  Function: ^allocate node:buffer:403:18
      1    0.0%    0.0%  Function: ^allocUnsafe node:buffer:378:42
      1    0.0%    0.0%  Function: ^alignPool node:buffer:163:19
      1    0.0%    0.0%  Function: ^afterWrite node:internal/streams/writable:489:20
      1    0.0%    0.0%  Function: ^addListener node:events:604:58
      1    0.0%    0.0%  Function: ^_write node:internal/streams/writable:285:16
      1    0.0%    0.0%  Function: ^_destroy node:_http_incoming:221:55
      1    0.0%    0.0%  Function: ^_addHeaderLines node:_http_incoming:244:25
      1    0.0%    0.0%  Function: ^_addHeaderLine node:_http_incoming:382:24
      1    0.0%    0.0%  Function: ^Writable.uncork node:internal/streams/writable:343:37
      1    0.0%    0.0%  Function: ^Writable.cork node:internal/streams/writable:339:35
      1    0.0%    0.0%  Function: ^Timeout node:internal/timers:167:17
      1    0.0%    0.0%  Function: ^ServerDescription /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/mongodb/lib/sdam/server_description.js:35:16
      1    0.0%    0.0%  Function: ^Readable.read node:internal/streams/readable:394:35
      1    0.0%    0.0%  Function: ^Readable.on node:internal/streams/readable:874:33
      1    0.0%    0.0%  Function: ^Module._resolveLookupPaths node:internal/modules/cjs/loader:678:38
      1    0.0%    0.0%  Function: ^Long.isNegative /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/long.js:493:42
      1    0.0%    0.0%  Function: ^Long.fromBits /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/long.js:89:30
      1    0.0%    0.0%  Function: ^Long /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/long.js:59:18
      1    0.0%    0.0%  Function: ^Hash node:internal/crypto/hash:62:14
      1    0.0%    0.0%  Function: ^FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:74:3
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:689:40
      1    0.0%    0.0%  Function: ^<anonymous> node:fs:205:10
      1    0.0%    0.0%  Function: ^<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/mongodb/lib/sdam/server_description.js:45:137
      1    0.0%    0.0%  Function: ^<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/engine.io/build/server.js:479:30
      1    0.0%    0.0%  Function: *wasm-function[17]

 [C++]:
   ticks  total  nonlib   name
   3683   39.3%   41.6%  t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
