Statistical profiling result from profilerSinConsole.log, (9363 ticks, 23 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3   10.7%        Function: ^error /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/serve-static/index.js:115:39
      2   66.7%          LazyCompile: *emit node:events:460:44
      2  100.0%            Function: ^error /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/send/index.js:267:45
      1   33.3%          Function: ^emit node:events:460:44
      1  100.0%            Function: ^error /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/send/index.js:267:45
      1    3.6%        Function: ^jsonParser /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/body-parser/lib/types/json.js:98:30
      1  100.0%          LazyCompile: *trim_prefix /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:293:23
      1  100.0%            LazyCompile: *next /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:177:16
      1    3.6%        Function: ^initialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/passport/lib/middleware/initialize.js:51:29
      1  100.0%          LazyCompile: *trim_prefix /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:293:23
      1  100.0%            LazyCompile: *next /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:177:16
     27    1.4%      Function: ^fileURLToPath node:internal/url:1430:23
     27  100.0%        LazyCompile: ~packageResolve node:internal/modules/esm/resolve:892:24
     27  100.0%          Function: ^moduleResolve node:internal/modules/esm/resolve:985:23
     27  100.0%            Function: ^defaultResolve node:internal/modules/esm/resolve:1124:30
     25    1.3%      Function: ^deserializeObject /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:65:27
     24   96.0%        Function: ^deserialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:36:21
     24  100.0%          Function: ^deserialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/bson.js:161:21
     23   95.8%            Function: ^parse /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/mongodb/lib/cmap/commands.js:426:10
      1    4.2%            Function: ^parse /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/mongodb/lib/cmap/commands.js:222:10
      1    4.0%        Function: ^deserializeObject /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:65:27
      1  100.0%          Function: ^deserialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%            Function: ^deserialize /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/bson.js:161:21
     22    1.1%      Function: ^hash /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:596:14
     11   50.0%        Function: ^isModified /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:425:24
      9   81.8%          Function: ^shouldSave /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:440:24
      9  100.0%            Function: ^end /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:250:27
      2   18.2%          Function: ^shouldSetCookie /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:464:29
      2  100.0%            Function: ^<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:220:28
     11   50.0%        Function: ^generate /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:363:22
     11  100.0%          Function: ^session /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:179:26
      6   54.5%            LazyCompile: *trim_prefix /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:293:23
      5   45.5%            Function: ^handle /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/layer.js:86:49
     21    1.1%      Function: ^send /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/response.js:111:25
     21  100.0%        Function: ^done /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/response.js:1033:27
     21  100.0%          Function: ^tryHandleCache /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:254:24
     21  100.0%            Function: ^exports.renderFile /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:441:31
    107    2.9%    LazyCompile: *compileFunction node:vm:316:25
    107  100.0%      Function: ^wrapSafe node:internal/modules/cjs/loader:1040:18
    107  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1080:37
    107  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
    107  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:992:33

   1565   16.7%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
   1564   99.9%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
   1551   99.2%      Function: ^readSync node:fs:699:18
   1551  100.0%        Function: ^tryReadSync node:fs:438:21
   1550   99.9%          Function: ^readFileSync node:fs:459:22
   1479   95.4%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
     45    2.9%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1135:37

    943   10.1%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    943  100.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
    937   99.4%      Function: ^compileFunction node:vm:316:25
    927   98.9%        Function: ^wrapSafe node:internal/modules/cjs/loader:1040:18
    924   99.7%          Function: ^Module._compile node:internal/modules/cjs/loader:1080:37
    912   98.7%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
     12    1.3%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1135:37
     10    1.1%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1040:18
     10  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1080:37
     10  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1135:37

    528    5.6%  T node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
    528  100.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
    519   98.3%      Function: ^moduleStrategy node:internal/modules/esm/translators:114:56
    519  100.0%        Function: ^moduleProvider node:internal/modules/esm/loader:459:28
    519  100.0%          t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
      9    1.7%      LazyCompile: ~moduleStrategy node:internal/modules/esm/translators:114:56
      6   66.7%        LazyCompile: ~moduleProvider node:internal/modules/esm/loader:459:28
      6  100.0%          t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
      3   33.3%        Function: ^moduleProvider node:internal/modules/esm/loader:459:28
      3  100.0%          t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const

    474    5.1%  T __kernelrpc_mach_port_get_context

    329    3.5%  T node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    329  100.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
    269   81.8%      Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
    246   91.4%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:349:29
     23    9.3%          Function: ~<anonymous> node:http2:1:1
     23  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     23    9.3%          Function: ~<anonymous> node:crypto:1:1
     23  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     20    8.1%          Function: ~<anonymous> node:tls:1:1
     20  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     19    7.7%          Function: ~<anonymous> node:_http_client:1:1
     19  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     18    7.3%          Function: ~<anonymous> node:http:1:1
     18  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     16    6.5%          Function: ~<anonymous> node:internal/http2/core:1:1
     16  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     11    4.5%          LazyCompile: ~initCJSParse node:internal/modules/esm/translators:58:28
     11  100.0%            LazyCompile: ~commonjsStrategy node:internal/modules/esm/translators:148:60
     10    4.1%          Function: ~<anonymous> node:internal/child_process:1:1
     10  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      8    3.3%          Function: ~<anonymous> node:internal/modules/esm/load:1:1
      8  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      8    3.3%          Function: ~<anonymous> node:internal/cluster/primary:1:1
      8  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      8    3.3%          Function: ~<anonymous> node:child_process:1:1
      8  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      8    3.3%          Function: ~<anonymous> node:assert:1:1
      8  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      7    2.8%          Function: ~<anonymous> node:cluster:1:1
      7  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      6    2.4%          Function: ~<anonymous> node:internal/http2/compat:1:1
      6  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      6    2.4%          Function: ~<anonymous> node:_http_common:1:1
      6  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      5    2.0%          LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      5  100.0%            LazyCompile: ~get node:crypto:294:8
      4    1.6%          LazyCompile: ~lazyLoadStreams node:fs:2893:25
      4  100.0%            LazyCompile: ~get ReadStream node:fs:3036:17
      4    1.6%          Function: ~<anonymous> node:https:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      4    1.6%          Function: ~<anonymous> node:dns:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      4    1.6%          Function: ~<anonymous> node:_tls_wrap:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      4    1.6%          Function: ~<anonymous> node:_tls_common:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3    1.2%          Function: ~<anonymous> node:tty:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3    1.2%          Function: ~<anonymous> node:internal/process/esm_loader:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3    1.2%          Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3    1.2%          Function: ~<anonymous> node:dgram:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     14    5.2%        Function: ^compileForPublicLoader node:internal/bootstrap/loaders:263:25
     14  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
     14  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:771:24
      9    3.3%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:263:25
      6   66.7%          LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:44:26
      6  100.0%            LazyCompile: ~builtinStrategy node:internal/modules/esm/translators:254:58
      3   33.3%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      3  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:771:24
     60   18.2%      LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
     50   83.3%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:349:29
     10   20.0%          Function: ~<anonymous> node:internal/modules/esm/fetch_module:1:1
     10  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      7   14.0%          LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:521:29
      7  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:29:36
      6   12.0%          Function: ~<anonymous> node:net:1:1
      6  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      6   12.0%          Function: ~<anonymous> node:internal/process/esm_loader:1:1
      6  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      5   10.0%          Function: ~<anonymous> node:internal/modules/esm/module_map:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      5   10.0%          Function: ~<anonymous> node:internal/modules/cjs/loader:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3    6.0%          LazyCompile: ~initializeReport node:internal/bootstrap/pre_execution:278:26
      3  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:29:36
      3    6.0%          Function: ~<anonymous> node:internal/modules/esm/get_format:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      2    4.0%          LazyCompile: ~initializeSourceMapsHandlers node:internal/bootstrap/pre_execution:560:38
      2  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:29:36
      2    4.0%          Function: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1    2.0%          Function: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:316:27
     10   16.7%        LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:349:29
      8   80.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      2   20.0%          LazyCompile: ~setupInspectorHooks node:internal/bootstrap/pre_execution:329:29
      2  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:29:36

    240    2.6%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
    240  100.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
    232   96.7%      Function: ^read node:internal/modules/package_json_reader:16:14
    204   87.9%        Function: ^readPackage node:internal/modules/cjs/loader:301:21
    146   71.6%          Function: ^resolveExports node:internal/modules/cjs/loader:483:24
    146  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:505:28
     43   21.1%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:505:28
     43  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:865:35
      9    4.4%          LazyCompile: ~resolveExports node:internal/modules/cjs/loader:483:24
      7   77.8%            Function: ^Module._findPath node:internal/modules/cjs/loader:505:28
      2   22.2%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:505:28
      6    2.9%          Function: ^readPackageScope node:internal/modules/cjs/loader:332:26
      6  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
     15    6.5%        LazyCompile: *readPackage node:internal/modules/cjs/loader:301:21
     12   80.0%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:505:28
     12  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:865:35
      2   13.3%          LazyCompile: *readPackageScope node:internal/modules/cjs/loader:332:26
      2  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
      1    6.7%          Function: ^resolveExports node:internal/modules/cjs/loader:483:24
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:505:28
      9    3.9%        Function: ^getPackageConfig node:internal/modules/esm/resolve:197:26
      6   66.7%          Function: ^packageResolve node:internal/modules/esm/resolve:892:24
      6  100.0%            Function: ^moduleResolve node:internal/modules/esm/resolve:985:23
      3   33.3%          LazyCompile: ~packageResolve node:internal/modules/esm/resolve:892:24
      3  100.0%            Function: ^moduleResolve node:internal/modules/esm/resolve:985:23
      3    1.3%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:301:21
      3  100.0%          LazyCompile: ~resolveExports node:internal/modules/cjs/loader:483:24
      3  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:505:28
      8    3.3%      LazyCompile: ~read node:internal/modules/package_json_reader:16:14
      7   87.5%        LazyCompile: ~getPackageConfig node:internal/modules/esm/resolve:197:26
      7  100.0%          LazyCompile: ~packageResolve node:internal/modules/esm/resolve:892:24
      7  100.0%            LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:985:23
      1   12.5%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:301:21
      1  100.0%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:332:26
      1  100.0%            LazyCompile: ~shouldUseESMLoader node:internal/modules/run_main:30:28

    164    1.8%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
    164  100.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
    164  100.0%      Function: ^openSync node:fs:585:18
    164  100.0%        Function: ^readFileSync node:fs:459:22
    106   64.6%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
     96   90.6%            Function: ^Module.load node:internal/modules/cjs/loader:992:33
     10    9.4%            LazyCompile: *Module._load node:internal/modules/cjs/loader:771:24
     57   34.8%          Function: ^fileLoader /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:292:20
     57  100.0%            Function: ^handleCache /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:210:21

    132    1.4%  /usr/lib/system/libsystem_pthread.dylib
     70   53.0%    t node::options_parser::OptionsParser<node::PerIsolateOptions>::Parse(std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*, node::PerIsolateOptions*, node::OptionEnvvarSettings, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >*) const
      4    5.7%      LazyCompile: ~toRealPath node:internal/modules/cjs/loader:404:20
      4  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:505:28
      4  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:15:25
      4  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:74:31
      4    5.7%      LazyCompile: ~patchProcessObject node:internal/bootstrap/pre_execution:103:28
      4  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:29:36
      4  100.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
